"","pay","algorithm","sdev","n","s","rep"
"135",89.0000009002814,3,"0.5",10,10,7
"136",8.90300986719496,1,"1",10,10,7
"137",37.8539231253247,2,"1",10,10,7
"138",89.1490023854495,3,"1",10,10,7
"139",14.263627828193,1,"2",10,10,7
"140",58.9770695383253,2,"2",10,10,7
"141",46.8201911302785,3,"2",10,10,7
"142",61.0393551733654,1,"5",10,10,7
"143",126.887937336577,2,"5",10,10,7
"144",81.1028099031256,3,"5",10,10,7
"145",130.219714426461,1,"10",10,10,7
"146",145.905948757552,2,"10",10,10,7
"147",133.365159912606,3,"10",10,10,7
"148",19,1,"0.05",10,10,8
"149",36,2,"0.05",10,10,8
"150",19,3,"0.05",10,10,8
"151",19,1,"0.1",10,10,8
"152",34,2,"0.1",10,10,8
"153",18,3,"0.1",10,10,8
"154",19.0000000164892,1,"0.5",10,10,8
"155",17.6766764182442,2,"0.5",10,10,8
"156",38.0366312777775,3,"0.5",10,10,8
"157",25.7737800990572,1,"1",10,10,8
"158",18.661174713005,2,"1",10,10,8
"159",52.6916946719328,3,"1",10,10,8
"160",25.5788282331306,1,"2",10,10,8
"161",25.4981002937836,2,"2",10,10,8
"162",50.188289406813,3,"2",10,10,8
"163",52.4688876103901,1,"5",10,10,8
"164",77.1973948659673,2,"5",10,10,8
"165",83.2546485592342,3,"5",10,10,8
"166",100.015872831506,1,"10",10,10,8
"167",101.231524780244,2,"10",10,10,8
"168",98.8696999135786,3,"10",10,10,8
"169",4,1,"0.05",10,10,9
"170",21,2,"0.05",10,10,9
"171",49,3,"0.05",10,10,9
"172",32,1,"0.1",10,10,9
"173",32,2,"0.1",10,10,9
"174",97,3,"0.1",10,10,9
"175",32.553762012644,1,"0.5",10,10,9
"176",41.1631070884359,2,"0.5",10,10,9
"177",131,3,"0.5",10,10,9
"178",56.4770509762623,1,"1",10,10,9
"179",39.617497613846,2,"1",10,10,9
"180",15.0000000125015,3,"1",10,10,9
"181",105.819795874646,1,"2",10,10,9
"182",102.968155840593,2,"2",10,10,9
"183",122.512237216532,3,"2",10,10,9
"184",144.52299033209,1,"5",10,10,9
"185",160.909167657862,2,"5",10,10,9
"186",161.393386398475,3,"5",10,10,9
"187",171.463520174341,1,"10",10,10,9
"188",185.178620008395,2,"10",10,10,9
"189",153.670720520845,3,"10",10,10,9
