"","pay","algorithm","sdev","n","s","rep"
"1",184,1,"0.05",10,10,1
"2",184,2,"0.05",10,10,1
"3",184,3,"0.05",10,10,1
"4",184,4,"0.05",10,10,1
"5",184,5,"0.05",10,10,1
"6",184,1,"0.1",10,10,1
"7",184,2,"0.1",10,10,1
"8",184,3,"0.1",10,10,1
"9",184,4,"0.1",10,10,1
"10",184,5,"0.1",10,10,1
"11",184.95556581704,1,"0.5",10,10,1
"12",184.95556581704,2,"0.5",10,10,1
"13",184.95556581704,3,"0.5",10,10,1
"14",184.95556581704,4,"0.5",10,10,1
"15",184.95556581704,5,"0.5",10,10,1
"16",191.564112758309,1,"1",10,10,1
"17",191.564112758309,2,"1",10,10,1
"18",191.564112758309,3,"1",10,10,1
"19",191.564112758309,4,"1",10,10,1
"20",191.564112758309,5,"1",10,10,1
"21",206.120161746945,1,"2",10,10,1
"22",206.120161746945,2,"2",10,10,1
"23",206.120161746945,3,"2",10,10,1
"24",206.120161746945,4,"2",10,10,1
"25",206.120161746945,5,"2",10,10,1
"26",219.286933496209,1,"5",10,10,1
"27",219.286933496209,2,"5",10,10,1
"28",219.286933496209,3,"5",10,10,1
"29",219.286933496209,4,"5",10,10,1
"30",219.286933496209,5,"5",10,10,1
"31",222.574817816682,1,"10",10,10,1
"32",222.574817816682,2,"10",10,10,1
"33",222.574817816682,3,"10",10,10,1
"34",222.574817816682,4,"10",10,10,1
"35",222.574817816682,5,"10",10,10,1
"36",331,1,"0.05",10,10,2
"37",335,2,"0.05",10,10,2
"38",335,3,"0.05",10,10,2
"39",335,4,"0.05",10,10,2
"40",335,5,"0.05",10,10,2
"41",331,1,"0.1",10,10,2
"42",335,2,"0.1",10,10,2
"43",335,3,"0.1",10,10,2
"44",335,4,"0.1",10,10,2
"45",335,5,"0.1",10,10,2
"46",331.947850344128,1,"0.5",10,10,2
"47",335.952714521773,2,"0.5",10,10,2
"48",335.952714521773,3,"0.5",10,10,2
"49",335.952714521773,4,"0.5",10,10,2
"50",335.952714521773,5,"0.5",10,10,2
"51",335.819369078161,1,"1",10,10,2
"52",341.511060118618,2,"1",10,10,2
"53",341.511060118618,3,"1",10,10,2
"54",341.511060118618,4,"1",10,10,2
"55",341.511060118618,5,"1",10,10,2
"56",353.803841079719,1,"2",10,10,2
"57",355.219514249718,2,"2",10,10,2
"58",355.219514249718,3,"2",10,10,2
"59",355.219514249718,4,"2",10,10,2
"60",355.219514249718,5,"2",10,10,2
"61",376.968369647684,1,"5",10,10,2
"62",377.144061917634,2,"5",10,10,2
"63",377.144061917634,3,"5",10,10,2
"64",377.144061917634,4,"5",10,10,2
"65",377.144061917634,5,"5",10,10,2
"66",393.512436645895,1,"10",10,10,2
"67",393.734537900618,2,"10",10,10,2
"68",393.734537900618,3,"10",10,10,2
"69",393.734537900618,4,"10",10,10,2
"70",393.734537900618,5,"10",10,10,2
"71",312.5,1,"0.05",10,10,3
"72",311.5,2,"0.05",10,10,3
"73",312.5,3,"0.05",10,10,3
"74",312.5,4,"0.05",10,10,3
"75",312.5,5,"0.05",10,10,3
"76",312.5,1,"0.1",10,10,3
"77",311.5,2,"0.1",10,10,3
"78",312.5,3,"0.1",10,10,3
"79",312.5,4,"0.1",10,10,3
"80",312.5,5,"0.1",10,10,3
"81",312.5,1,"0.5",10,10,3
"82",311.502012775767,2,"0.5",10,10,3
"83",312.5,3,"0.5",10,10,3
"84",312.5,4,"0.5",10,10,3
"85",312.5,5,"0.5",10,10,3
"86",317.976393776253,1,"1",10,10,3
"87",317.976393776253,2,"1",10,10,3
"88",317.976393776253,3,"1",10,10,3
"89",317.976393776253,4,"1",10,10,3
"90",317.976393776253,5,"1",10,10,3
"91",325.990982633163,1,"2",10,10,3
"92",325.990982633163,2,"2",10,10,3
"93",325.990982633163,3,"2",10,10,3
"94",325.990982633163,4,"2",10,10,3
"95",325.990982633163,5,"2",10,10,3
"96",341.421151276567,1,"5",10,10,3
"97",341.421151276567,2,"5",10,10,3
"98",341.421151276567,3,"5",10,10,3
"99",341.421151276567,4,"5",10,10,3
"100",341.421151276567,5,"5",10,10,3
"101",351.685321097983,1,"10",10,10,3
"102",351.685321097983,2,"10",10,10,3
"103",351.685321097983,3,"10",10,10,3
"104",351.685321097983,4,"10",10,10,3
"105",351.685321097983,5,"10",10,10,3
"106",267,1,"0.05",10,10,4
"107",267,2,"0.05",10,10,4
"108",267,3,"0.05",10,10,4
"109",267,4,"0.05",10,10,4
"110",267,5,"0.05",10,10,4
"111",267,1,"0.1",10,10,4
"112",267,2,"0.1",10,10,4
"113",267,3,"0.1",10,10,4
"114",267,4,"0.1",10,10,4
"115",267,5,"0.1",10,10,4
"116",268.01736292359,1,"0.5",10,10,4
"117",268.01736292359,2,"0.5",10,10,4
"118",268.01736292359,3,"0.5",10,10,4
"119",268.01736292359,4,"0.5",10,10,4
"120",268.01736292359,5,"0.5",10,10,4
"121",272.542285541766,1,"1",10,10,4
"122",272.542285541766,2,"1",10,10,4
"123",272.542285541766,3,"1",10,10,4
"124",272.542285541766,4,"1",10,10,4
"125",272.542285541766,5,"1",10,10,4
"126",279.925839299053,1,"2",10,10,4
"127",279.925839299053,2,"2",10,10,4
"128",279.925839299053,3,"2",10,10,4
"129",279.925839299053,4,"2",10,10,4
"130",279.925839299053,5,"2",10,10,4
"131",293.165976902724,1,"5",10,10,4
"132",293.165976902724,2,"5",10,10,4
"133",293.165976902724,3,"5",10,10,4
"134",293.165976902724,4,"5",10,10,4
"135",293.165976902724,5,"5",10,10,4
"136",298.672021581614,1,"10",10,10,4
"137",298.672021581614,2,"10",10,10,4
"138",298.672021581614,3,"10",10,10,4
"139",298.672021581614,4,"10",10,10,4
"140",298.672021581614,5,"10",10,10,4
"141",142.5,1,"0.05",10,10,5
"142",142.5,2,"0.05",10,10,5
"143",142.5,3,"0.05",10,10,5
"144",142.5,4,"0.05",10,10,5
"145",142.5,5,"0.05",10,10,5
"146",142.5,1,"0.1",10,10,5
"147",142.5,2,"0.1",10,10,5
"148",142.5,3,"0.1",10,10,5
"149",142.5,4,"0.1",10,10,5
"150",142.5,5,"0.1",10,10,5
"151",143.650349976046,1,"0.5",10,10,5
"152",143.650349976046,2,"0.5",10,10,5
"153",143.650349976046,3,"0.5",10,10,5
"154",143.650349976046,4,"0.5",10,10,5
"155",143.650349976046,5,"0.5",10,10,5
"156",153.801455258607,1,"1",10,10,5
"157",153.801455258607,2,"1",10,10,5
"158",153.801455258607,3,"1",10,10,5
"159",153.801455258607,4,"1",10,10,5
"160",153.801455258607,5,"1",10,10,5
"161",165.070042973033,1,"2",10,10,5
"162",165.070042973033,2,"2",10,10,5
"163",165.070042973033,3,"2",10,10,5
"164",165.070042973033,4,"2",10,10,5
"165",165.070042973033,5,"2",10,10,5
"166",174.717582701867,1,"5",10,10,5
"167",174.717582701867,2,"5",10,10,5
"168",174.717582701867,3,"5",10,10,5
"169",174.717582701867,4,"5",10,10,5
"170",174.717582701867,5,"5",10,10,5
"171",178.345873144404,1,"10",10,10,5
"172",178.345873144404,2,"10",10,10,5
"173",178.345873144404,3,"10",10,10,5
"174",178.345873144404,4,"10",10,10,5
"175",178.345873144404,5,"10",10,10,5
"176",199.5,1,"0.05",10,10,6
"177",199.5,2,"0.05",10,10,6
"178",199.5,3,"0.05",10,10,6
"179",199.5,4,"0.05",10,10,6
"180",199.5,5,"0.05",10,10,6
"181",199.5,1,"0.1",10,10,6
"182",199.5,2,"0.1",10,10,6
"183",199.5,3,"0.1",10,10,6
"184",199.5,4,"0.1",10,10,6
"185",199.5,5,"0.1",10,10,6
"186",199.838338558381,1,"0.5",10,10,6
"187",199.838338558381,2,"0.5",10,10,6
"188",199.838338558381,3,"0.5",10,10,6
"189",199.838338558381,4,"0.5",10,10,6
"190",199.838338558381,5,"0.5",10,10,6
"191",201.271833569661,1,"1",10,10,6
"192",201.271833569661,2,"1",10,10,6
"193",201.271833569661,3,"1",10,10,6
"194",201.271833569661,4,"1",10,10,6
"195",201.271833569661,5,"1",10,10,6
"196",219.12909213207,1,"2",10,10,6
"197",219.12909213207,2,"2",10,10,6
"198",219.12909213207,3,"2",10,10,6
"199",219.12909213207,4,"2",10,10,6
"200",219.12909213207,5,"2",10,10,6
"201",241.973832671027,1,"5",10,10,6
"202",241.973832671027,2,"5",10,10,6
"203",241.973832671027,3,"5",10,10,6
"204",241.973832671027,4,"5",10,10,6
"205",241.973832671027,5,"5",10,10,6
"206",248.166129052185,1,"10",10,10,6
"207",248.166129052185,2,"10",10,10,6
"208",248.166129052185,3,"10",10,10,6
"209",248.166129052185,4,"10",10,10,6
"210",248.166129052185,5,"10",10,10,6
"211",145,1,"0.05",10,10,7
"212",145,2,"0.05",10,10,7
"213",145,3,"0.05",10,10,7
"214",145,4,"0.05",10,10,7
"215",145,5,"0.05",10,10,7
"216",145,1,"0.1",10,10,7
"217",145,2,"0.1",10,10,7
"218",145,3,"0.1",10,10,7
"219",145,4,"0.1",10,10,7
"220",145,5,"0.1",10,10,7
"221",145.203506118797,1,"0.5",10,10,7
"222",145.203506118797,2,"0.5",10,10,7
"223",145.203506118797,3,"0.5",10,10,7
"224",145.203506118797,4,"0.5",10,10,7
"225",145.203506118797,5,"0.5",10,10,7
"226",146.113805302388,1,"1",10,10,7
"227",146.826866675038,2,"1",10,10,7
"228",146.826866675038,3,"1",10,10,7
"229",146.826866675038,4,"1",10,10,7
"230",146.826866675038,5,"1",10,10,7
"231",154.050187286642,1,"2",10,10,7
"232",154.050187286642,2,"2",10,10,7
"233",154.050187286642,3,"2",10,10,7
"234",154.050187286642,4,"2",10,10,7
"235",154.050187286642,5,"2",10,10,7
"236",169.04585276117,1,"5",10,10,7
"237",169.04585276117,2,"5",10,10,7
"238",169.04585276117,3,"5",10,10,7
"239",169.04585276117,4,"5",10,10,7
"240",169.04585276117,5,"5",10,10,7
"241",175.891795568924,1,"10",10,10,7
"242",175.891795568924,2,"10",10,10,7
"243",175.891795568924,3,"10",10,10,7
"244",175.891795568924,4,"10",10,10,7
"245",175.891795568924,5,"10",10,10,7
"246",247.5,1,"0.05",10,10,8
"247",252,2,"0.05",10,10,8
"248",252,3,"0.05",10,10,8
"249",252,4,"0.05",10,10,8
"250",252,5,"0.05",10,10,8
"251",247.5,1,"0.1",10,10,8
"252",252,2,"0.1",10,10,8
"253",252,3,"0.1",10,10,8
"254",252,4,"0.1",10,10,8
"255",252,5,"0.1",10,10,8
"256",249.597696890167,1,"0.5",10,10,8
"257",254.097696890167,2,"0.5",10,10,8
"258",254.097696890167,3,"0.5",10,10,8
"259",254.097696890167,4,"0.5",10,10,8
"260",254.097696890167,5,"0.5",10,10,8
"261",256.901236405631,1,"1",10,10,8
"262",261.401236405734,2,"1",10,10,8
"263",261.401236405734,3,"1",10,10,8
"264",261.401236405734,4,"1",10,10,8
"265",261.401236405734,5,"1",10,10,8
"266",267.25642251619,1,"2",10,10,8
"267",272.21494348714,2,"2",10,10,8
"268",272.21494348714,3,"2",10,10,8
"269",272.21494348714,4,"2",10,10,8
"270",272.21494348714,5,"2",10,10,8
"271",285.388821737838,1,"5",10,10,8
"272",285.99815673932,2,"5",10,10,8
"273",285.99815673932,3,"5",10,10,8
"274",285.99815673932,4,"5",10,10,8
"275",285.99815673932,5,"5",10,10,8
"276",292.995177895238,1,"10",10,10,8
"277",293.19587830629,2,"10",10,10,8
"278",293.19587830629,3,"10",10,10,8
"279",293.19587830629,4,"10",10,10,8
"280",293.19587830629,5,"10",10,10,8
"281",180,1,"0.05",10,10,9
"282",181,2,"0.05",10,10,9
"283",181,3,"0.05",10,10,9
"284",181,4,"0.05",10,10,9
"285",181,5,"0.05",10,10,9
"286",180,1,"0.1",10,10,9
"287",181,2,"0.1",10,10,9
"288",181,3,"0.1",10,10,9
"289",181,4,"0.1",10,10,9
"290",181,5,"0.1",10,10,9
"291",180.067667641618,1,"0.5",10,10,9
"292",181,2,"0.5",10,10,9
"293",181,3,"0.5",10,10,9
"294",181,4,"0.5",10,10,9
"295",181,5,"0.5",10,10,9
"296",180.303365949492,1,"1",10,10,9
"297",181.000491982061,2,"1",10,10,9
