"","pay","algorithm","sdev","n","s","rep"
"1",83,1,"0.05",20,20,1
"2",462,2,"0.05",20,20,1
"3",472,3,"0.05",20,20,1
"4",473,4,"0.05",20,20,1
"5",473,5,"0.05",20,20,1
"6",163,1,"0.1",20,20,1
"7",462,2,"0.1",20,20,1
"8",462,3,"0.1",20,20,1
"9",473,4,"0.1",20,20,1
"10",473,5,"0.1",20,20,1
"11",146.87978583696,1,"0.5",20,20,1
"12",463.030364756867,2,"0.5",20,20,1
"13",468.165364531786,3,"0.5",20,20,1
"14",473.21801754913,4,"0.5",20,20,1
"15",474.165364531786,5,"0.5",20,20,1
"16",192.928166756397,1,"1",20,20,1
"17",474.512672249157,2,"1",20,20,1
"18",476.507994880011,3,"1",20,20,1
"19",482.377336965921,4,"1",20,20,1
"20",482.377336965921,5,"1",20,20,1
"21",375.89966712084,1,"2",20,20,1
"22",483.953276884068,2,"2",20,20,1
"23",489.701405797346,3,"2",20,20,1
"24",489.701405797346,4,"2",20,20,1
"25",489.701405797346,5,"2",20,20,1
"26",381.007765070744,1,"5",20,20,1
"27",538.922460569418,2,"5",20,20,1
"28",538.922460569418,3,"5",20,20,1
"29",538.922460569418,4,"5",20,20,1
"30",538.922460569418,5,"5",20,20,1
"31",429.576450160123,1,"10",20,20,1
"32",568.354425366604,2,"10",20,20,1
"33",567.581893149172,3,"10",20,20,1
"34",569.237532464631,4,"10",20,20,1
"35",569.237532464631,5,"10",20,20,1
"36",85,1,"0.05",20,20,2
"37",247,2,"0.05",20,20,2
"38",251,3,"0.05",20,20,2
"39",290,4,"0.05",20,20,2
"40",290,5,"0.05",20,20,2
"41",85,1,"0.1",20,20,2
"42",247,2,"0.1",20,20,2
"43",251,3,"0.1",20,20,2
"44",290,4,"0.1",20,20,2
"45",290,5,"0.1",20,20,2
"46",85.1127115144421,1,"0.5",20,20,2
"47",247.002012775767,2,"0.5",20,20,2
"48",251.168383695437,3,"0.5",20,20,2
"49",290.002012882377,4,"0.5",20,20,2
"50",290.002012882377,5,"0.5",20,20,2
"51",112.987437568132,1,"1",20,20,2
"52",272.073573550576,2,"1",20,20,2
"53",278.822918451313,3,"1",20,20,2
"54",290.890110137815,4,"1",20,20,2
"55",290.910307057737,5,"1",20,20,2
"56",178.054550485288,1,"2",20,20,2
"57",291.801053385251,2,"2",20,20,2
"58",300.307218135867,3,"2",20,20,2
"59",316.085544646752,4,"2",20,20,2
"60",316.085544646752,5,"2",20,20,2
"61",337.328583198777,1,"5",20,20,2
"62",352.782584738884,2,"5",20,20,2
"63",363.090977686588,3,"5",20,20,2
"64",363.090977686588,4,"5",20,20,2
"65",363.090977686588,5,"5",20,20,2
"66",375.447819040928,1,"10",20,20,2
"67",392.15369301616,2,"10",20,20,2
"68",405.144309224011,3,"10",20,20,2
"69",407.670505411284,4,"10",20,20,2
"70",407.670505411284,5,"10",20,20,2
"71",82,1,"0.05",20,20,3
"72",470,2,"0.05",20,20,3
"73",472,3,"0.05",20,20,3
"74",489,4,"0.05",20,20,3
"75",489,5,"0.05",20,20,3
"76",82,1,"0.1",20,20,3
"77",470,2,"0.1",20,20,3
"78",470,3,"0.1",20,20,3
"79",489,4,"0.1",20,20,3
"80",489,5,"0.1",20,20,3
"81",74.1427407629913,1,"0.5",20,20,3
"82",470,2,"0.5",20,20,3
"83",474.601399630045,3,"0.5",20,20,3
"84",489,4,"0.5",20,20,3
"85",489,5,"0.5",20,20,3
"86",185.486600915299,1,"1",20,20,3
"87",479.100997723066,2,"1",20,20,3
"88",490.625080257606,3,"1",20,20,3
"89",490.625080257606,4,"1",20,20,3
"90",490.625080257606,5,"1",20,20,3
"91",272.417598576996,1,"2",20,20,3
"92",499.252479824666,2,"2",20,20,3
"93",501.464814898199,3,"2",20,20,3
"94",501.464814898199,4,"2",20,20,3
"95",501.464814898199,5,"2",20,20,3
"96",393.676033273147,1,"5",20,20,3
"97",562.631037499688,2,"5",20,20,3
"98",556.752286671877,3,"5",20,20,3
"99",563.367355900784,4,"5",20,20,3
"100",563.367355900784,5,"5",20,20,3
"101",602.70244104109,1,"10",20,20,3
"102",622.975129801036,2,"10",20,20,3
"103",622.975129801036,3,"10",20,20,3
"104",622.975129801036,4,"10",20,20,3
"105",622.975129801036,5,"10",20,20,3
"106",97,1,"0.05",20,20,4
"107",300,2,"0.05",20,20,4
"108",310,3,"0.05",20,20,4
"109",301,4,"0.05",20,20,4
"110",310,5,"0.05",20,20,4
"111",63,1,"0.1",20,20,4
"112",300,2,"0.1",20,20,4
"113",310,3,"0.1",20,20,4
"114",301,4,"0.1",20,20,4
"115",310,5,"0.1",20,20,4
"116",79.7545650364419,1,"0.5",20,20,4
"117",301.082682265893,2,"0.5",20,20,4
"118",311.790058855881,3,"0.5",20,20,4
"119",302.082682265893,4,"0.5",20,20,4
"120",311.790058855881,5,"0.5",20,20,4
"121",142.181578724464,1,"1",20,20,4
"122",323.122968017319,2,"1",20,20,4
"123",327.893048474561,3,"1",20,20,4
"124",324.942559996457,4,"1",20,20,4
"125",327.893048474561,5,"1",20,20,4
"126",199.444609675524,1,"2",20,20,4
"127",326.888164790812,2,"2",20,20,4
"128",335.175163199129,3,"2",20,20,4
"129",348.896795282577,4,"2",20,20,4
"130",348.896795282577,5,"2",20,20,4
"131",330.351975293032,1,"5",20,20,4
"132",399.562419232382,2,"5",20,20,4
"133",404.091301645273,3,"5",20,20,4
"134",404.091301645273,4,"5",20,20,4
"135",404.091301645273,5,"5",20,20,4
"136",459.177578270785,1,"10",20,20,4
"137",475.351552744407,2,"10",20,20,4
"138",475.351552744407,3,"10",20,20,4
"139",475.351552744407,4,"10",20,20,4
"140",475.351552744407,5,"10",20,20,4
"141",105,1,"0.05",20,20,5
"142",247,2,"0.05",20,20,5
"143",260,3,"0.05",20,20,5
"144",277,4,"0.05",20,20,5
"145",274,5,"0.05",20,20,5
"146",99,1,"0.1",20,20,5
"147",247,2,"0.1",20,20,5
"148",260,3,"0.1",20,20,5
"149",277,4,"0.1",20,20,5
"150",274,5,"0.1",20,20,5
"151",112.834228138684,1,"0.5",20,20,5
"152",247.000335462628,2,"0.5",20,20,5
"153",264.51905282678,3,"0.5",20,20,5
"154",277,4,"0.5",20,20,5
"155",274.135335283237,5,"0.5",20,20,5
"156",143.51528304913,1,"1",20,20,5
"157",267.151182531611,2,"1",20,20,5
"158",280.429550448163,3,"1",20,20,5
"159",283.294215164926,4,"1",20,20,5
"160",280.900745809409,5,"1",20,20,5
"161",249.521130628098,1,"2",20,20,5
"162",288.619464671186,2,"2",20,20,5
"163",299.209387436903,3,"2",20,20,5
"164",301.511210255634,4,"2",20,20,5
"165",299.209387436903,5,"2",20,20,5
"166",295.740553297545,1,"5",20,20,5
"167",350.556734736957,2,"5",20,20,5
"168",358.546942717404,3,"5",20,20,5
"169",358.546942717404,4,"5",20,20,5
"170",358.546942717404,5,"5",20,20,5
"171",377.42507626039,1,"10",20,20,5
"172",406.795581990934,2,"10",20,20,5
"173",408.641068333047,3,"10",20,20,5
"174",408.641068333047,4,"10",20,20,5
"175",408.641068333047,5,"10",20,20,5
"176",31,1,"0.05",20,20,6
"177",297,2,"0.05",20,20,6
"178",341,3,"0.05",20,20,6
"179",354,4,"0.05",20,20,6
"180",356,5,"0.05",20,20,6
"181",37,1,"0.1",20,20,6
"182",297,2,"0.1",20,20,6
"183",336,3,"0.1",20,20,6
"184",354,4,"0.1",20,20,6
"185",356,5,"0.1",20,20,6
"186",42.4167659557435,1,"0.5",20,20,6
"187",297.819727339862,2,"0.5",20,20,6
"188",341.135335313697,3,"0.5",20,20,6
"189",354.541341132947,4,"0.5",20,20,6
"190",356.135335283237,5,"0.5",20,20,6
"191",113.254991612352,1,"1",20,20,6
"192",316.671896907848,2,"1",20,20,6
"193",341.637470681115,3,"1",20,20,6
"194",356.434844667176,4,"1",20,20,6
"195",356.615252688038,5,"1",20,20,6
"196",176.555056937193,1,"2",20,20,6
"197",347.155048557716,2,"2",20,20,6
"198",367.696380151815,3,"2",20,20,6
"199",375.309931363133,4,"2",20,20,6
"200",375.309931363133,5,"2",20,20,6
"201",293.046089350726,1,"5",20,20,6
"202",406.53466910509,2,"5",20,20,6
"203",415.688916785557,3,"5",20,20,6
"204",415.688916785557,4,"5",20,20,6
"205",415.688916785557,5,"5",20,20,6
"206",397.725517753092,1,"10",20,20,6
"207",465.236290726845,2,"10",20,20,6
"208",465.236290726845,3,"10",20,20,6
"209",465.236290726845,4,"10",20,20,6
"210",465.236290726845,5,"10",20,20,6
"211",64,1,"0.05",20,20,7
"212",302,2,"0.05",20,20,7
"213",302,3,"0.05",20,20,7
"214",335,4,"0.05",20,20,7
"215",335,5,"0.05",20,20,7
"216",64,1,"0.1",20,20,7
"217",302,2,"0.1",20,20,7
"218",302,3,"0.1",20,20,7
"219",335,4,"0.1",20,20,7
"220",335,5,"0.1",20,20,7
"221",73.7441403930361,1,"0.5",20,20,7
"222",302.81201174511,2,"0.5",20,20,7
"223",302.270670612163,3,"0.5",20,20,7
"224",335.00000004569,4,"0.5",20,20,7
"225",335.00000004569,5,"0.5",20,20,7
"226",124.31924618739,1,"1",20,20,7
"227",309.0316972322,2,"1",20,20,7
"228",323.93571830512,3,"1",20,20,7
"229",335.657350388569,4,"1",20,20,7
"230",335.657350388569,5,"1",20,20,7
"231",195.331779876803,1,"2",20,20,7
"232",335.145039097402,2,"2",20,20,7
"233",346.801599614128,3,"2",20,20,7
"234",346.801599614128,4,"2",20,20,7
"235",346.801599614128,5,"2",20,20,7
"236",315.726936447129,1,"5",20,20,7
"237",387.321090280716,2,"5",20,20,7
"238",387.321090280716,3,"5",20,20,7
"239",387.321090280716,4,"5",20,20,7
"240",387.321090280716,5,"5",20,20,7
"241",379.92063962415,1,"10",20,20,7
"242",450.814690578008,2,"10",20,20,7
"243",450.814690578008,3,"10",20,20,7
"244",450.814690578008,4,"10",20,20,7
"245",450.814690578008,5,"10",20,20,7
"246",101,1,"0.05",20,20,8
"247",239,2,"0.05",20,20,8
"248",250,3,"0.05",20,20,8
"249",255,4,"0.05",20,20,8
"250",258,5,"0.05",20,20,8
"251",103,1,"0.1",20,20,8
"252",239,2,"0.1",20,20,8
"253",258,3,"0.1",20,20,8
"254",255,4,"0.1",20,20,8
"255",258,5,"0.1",20,20,8
"256",104.897713128964,1,"0.5",20,20,8
"257",239.541341132946,2,"0.5",20,20,8
"258",255.624023398839,3,"0.5",20,20,8
"259",253.81201169942,4,"0.5",20,20,8
"260",259.21801754913,5,"0.5",20,20,8
"261",123.770031293249,1,"1",20,20,8
"262",269.672511908748,2,"1",20,20,8
"263",267.890209743702,3,"1",20,20,8
"264",273.672511908748,4,"1",20,20,8
"265",272.458779664067,5,"1",20,20,8
"266",219.709207105502,1,"2",20,20,8
"267",287.704136749692,2,"2",20,20,8
"268",297.215965237117,3,"2",20,20,8
"269",297.215965237117,4,"2",20,20,8
"270",297.215965237117,5,"2",20,20,8
"271",337.057342412665,1,"5",20,20,8
"272",360.278492767742,2,"5",20,20,8
"273",360.278492767742,3,"5",20,20,8
"274",361.264105454358,4,"5",20,20,8
"275",361.264105454358,5,"5",20,20,8
"276",402.943494024254,1,"10",20,20,8
"277",406.377376389583,2,"10",20,20,8
"278",406.377376389583,3,"10",20,20,8
"279",406.377376389583,4,"10",20,20,8
"280",406.377376389583,5,"10",20,20,8
"281",77,1,"0.05",20,20,9
"282",307,2,"0.05",20,20,9
"283",310,3,"0.05",20,20,9
"284",316,4,"0.05",20,20,9
"285",321,5,"0.05",20,20,9
"286",76,1,"0.1",20,20,9
"287",307,2,"0.1",20,20,9
"288",317,3,"0.1",20,20,9
"289",316,4,"0.1",20,20,9
"290",321,5,"0.1",20,20,9
"291",75.4134114665343,1,"0.5",20,20,9
"292",304.003354626279,2,"0.5",20,20,9
"293",320.947346982656,3,"0.5",20,20,9
"294",323.003354626279,4,"0.5",20,20,9
"295",320.947346982656,5,"0.5",20,20,9
"296",134.332408153159,1,"1",20,20,9
"297",321.589400540076,2,"1",20,20,9
"298",340.063677037587,3,"1",20,20,9
"299",336.752667002432,4,"1",20,20,9
"300",342.817962419598,5,"1",20,20,9
"301",224.467128802735,1,"2",20,20,9
"302",355.809342317084,2,"2",20,20,9
"303",359.803399476692,3,"2",20,20,9
"304",360.626041354492,4,"2",20,20,9
"305",360.626041354492,5,"2",20,20,9
"306",399.56885207561,1,"5",20,20,9
"307",419.47514432108,2,"5",20,20,9
"308",422.384686027452,3,"5",20,20,9
"309",422.384686027452,4,"5",20,20,9
"310",422.384686027452,5,"5",20,20,9
"311",469.570844943634,1,"10",20,20,9
"312",488.08513440804,2,"10",20,20,9
"313",488.08513440804,3,"10",20,20,9
"314",488.08513440804,4,"10",20,20,9
"315",488.08513440804,5,"10",20,20,9
"316",139,1,"0.05",20,20,10
"317",257,2,"0.05",20,20,10
"318",272,3,"0.05",20,20,10
"319",283,4,"0.05",20,20,10
"320",288,5,"0.05",20,20,10
"321",33,1,"0.1",20,20,10
"322",257,2,"0.1",20,20,10
"323",272,3,"0.1",20,20,10
"324",283,4,"0.1",20,20,10
"325",288,5,"0.1",20,20,10
"326",34.2254230288842,1,"0.5",20,20,10
"327",257.00637382039,2,"0.5",20,20,10
"328",272.41237963964,3,"0.5",20,20,10
"329",283.41237963964,4,"0.5",20,20,10
"330",288.41237963964,5,"0.5",20,20,10
"331",84.2667679700103,1,"1",20,20,10
"332",262.926827582763,2,"1",20,20,10
"333",284.193412811725,3,"1",20,20,10
"334",287.390962375864,4,"1",20,20,10
"335",295.042799898692,5,"1",20,20,10
"336",128.264729344712,1,"2",20,20,10
"337",279.19084688027,2,"2",20,20,10
"338",312.537238841574,3,"2",20,20,10
"339",312.537238841574,4,"2",20,20,10
"340",312.537238841574,5,"2",20,20,10
"341",298.474225401258,1,"5",20,20,10
"342",320.636384163108,2,"5",20,20,10
"343",326.950947200296,3,"5",20,20,10
"344",333.702024269433,4,"5",20,20,10
"345",333.702024269433,5,"5",20,20,10
"346",345.980105411382,1,"10",20,20,10
"347",379.140287881381,2,"10",20,20,10
"348",379.668635078172,3,"10",20,20,10
"349",379.668635078172,4,"10",20,20,10
"350",379.668635078172,5,"10",20,20,10
"351",82,1,"0.05",20,20,11
"352",339,2,"0.05",20,20,11
"353",355,3,"0.05",20,20,11
"354",351,4,"0.05",20,20,11
"355",355,5,"0.05",20,20,11
"356",82,1,"0.1",20,20,11
"357",339,2,"0.1",20,20,11
"358",355,3,"0.1",20,20,11
"359",351,4,"0.1",20,20,11
"360",355,5,"0.1",20,20,11
