"","pay","algorithm","sdev","n","s","rep"
"137",211.775732949922,2,"10",5,5,4
"138",211.775732949922,3,"10",5,5,4
"139",211.775732949922,4,"10",5,5,4
"140",211.775732949922,5,"10",5,5,4
"141",31,1,"0.05",5,5,5
"142",31,2,"0.05",5,5,5
"143",35,3,"0.05",5,5,5
"144",35,4,"0.05",5,5,5
"145",35,5,"0.05",5,5,5
"146",18,1,"0.1",5,5,5
"147",31,2,"0.1",5,5,5
"148",34,3,"0.1",5,5,5
"149",35,4,"0.1",5,5,5
"150",35,5,"0.1",5,5,5
"151",18.0003354626279,1,"0.5",5,5,5
"152",31.0016773131395,2,"0.5",5,5,5
"153",35,3,"0.5",5,5,5
"154",35,4,"0.5",5,5,5
"155",35,5,"0.5",5,5,5
"156",18.1353352832366,1,"1",5,5,5
"157",31.6766764161831,2,"1",5,5,5
"158",35.0003354626279,3,"1",5,5,5
"159",35.0003354626279,4,"1",5,5,5
"160",35.0003354626279,5,"1",5,5,5
"161",26.5567358331032,1,"2",5,5,5
"162",34.0326532985632,2,"2",5,5,5
"163",35.1353352832366,3,"2",5,5,5
"164",35.1353352832366,4,"2",5,5,5
"165",35.1353352832366,5,"2",5,5,5
"166",34.6934903915991,1,"5",5,5,5
"167",36.154279810253,2,"5",5,5,5
"168",36.3849307710931,3,"5",5,5,5
"169",36.3849307710931,4,"5",5,5,5
"170",36.3849307710931,5,"5",5,5,5
"171",36.4059601992027,1,"10",5,5,5
"172",36.7821854063743,2,"10",5,5,5
"173",36.841589386454,3,"10",5,5,5
"174",36.841589386454,4,"10",5,5,5
"175",36.841589386454,5,"10",5,5,5
"176",16,1,"0.05",5,5,6
"177",36,2,"0.05",5,5,6
"178",36,3,"0.05",5,5,6
"179",36,4,"0.05",5,5,6
"180",36,5,"0.05",5,5,6
"181",4,1,"0.1",5,5,6
"182",36,2,"0.1",5,5,6
"183",36,3,"0.1",5,5,6
"184",36,4,"0.1",5,5,6
"185",36,5,"0.1",5,5,6
"186",5.1653645317858,1,"0.5",5,5,6
"187",36,2,"0.5",5,5,6
"188",36,3,"0.5",5,5,6
"189",36,4,"0.5",5,5,6
"190",36,5,"0.5",5,5,6
"191",12.7044905554021,1,"1",5,5,6
"192",36,2,"1",5,5,6
"193",36,3,"1",5,5,6
"194",36,4,"1",5,5,6
"195",36,5,"1",5,5,6
