"","pay","algorithm","sdev","n","s","rep"
"1",97,1,"0.05",5,5,1
"2",97,2,"0.05",5,5,1
"3",97,3,"0.05",5,5,1
"4",97,4,"0.05",5,5,1
"5",97,5,"0.05",5,5,1
"6",97,1,"0.1",5,5,1
"7",97,2,"0.1",5,5,1
"8",97,3,"0.1",5,5,1
"9",97,4,"0.1",5,5,1
"10",97,5,"0.1",5,5,1
"11",97.00000004569,1,"0.5",5,5,1
"12",97.0676676416183,2,"0.5",5,5,1
"13",97.0676676416183,3,"0.5",5,5,1
"14",97.0676676416183,4,"0.5",5,5,1
"15",97.0676676416183,5,"0.5",5,5,1
"16",104.77214815672,1,"1",5,5,1
"17",105.040409183822,2,"1",5,5,1
"18",105.040409183822,3,"1",5,5,1
"19",105.040409183822,4,"1",5,5,1
"20",105.040409183822,5,"1",5,5,1
"21",112.183068772535,1,"2",5,5,1
"22",112.183068772535,2,"2",5,5,1
"23",112.183068772535,3,"2",5,5,1
"24",112.183068772535,4,"2",5,5,1
"25",112.183068772535,5,"2",5,5,1
"26",118.720727959044,1,"5",5,5,1
"27",118.720727959044,2,"5",5,5,1
"28",118.720727959044,3,"5",5,5,1
"29",118.720727959044,4,"5",5,5,1
"30",118.720727959044,5,"5",5,5,1
"31",120.378836240479,1,"10",5,5,1
"32",120.378836240479,2,"10",5,5,1
"33",120.378836240479,3,"10",5,5,1
"34",120.378836240479,4,"10",5,5,1
"35",120.378836240479,5,"10",5,5,1
"36",161.5,1,"0.05",5,5,2
"37",161.5,2,"0.05",5,5,2
"38",161.5,3,"0.05",5,5,2
"39",161.5,4,"0.05",5,5,2
"40",161.5,5,"0.05",5,5,2
"41",161.5,1,"0.1",5,5,2
"42",161.5,2,"0.1",5,5,2
"43",161.5,3,"0.1",5,5,2
"44",161.5,4,"0.1",5,5,2
"45",161.5,5,"0.1",5,5,2
"46",167.725423028884,1,"0.5",5,5,2
"47",167.725423028884,2,"0.5",5,5,2
"48",167.725423028884,3,"0.5",5,5,2
"49",167.725423028884,4,"0.5",5,5,2
"50",167.725423028884,5,"0.5",5,5,2
"51",192.010965287073,1,"1",5,5,2
"52",192.010965287073,2,"1",5,5,2
"53",192.010965287073,3,"1",5,5,2
"54",192.010965287073,4,"1",5,5,2
"55",192.010965287073,5,"1",5,5,2
"56",212.718697320439,1,"2",5,5,2
"57",212.718697320439,2,"2",5,5,2
"58",212.718697320439,3,"2",5,5,2
"59",212.718697320439,4,"2",5,5,2
"60",212.718697320439,5,"2",5,5,2
"61",220.798793506832,1,"5",5,5,2
"62",220.798793506832,2,"5",5,5,2
"63",220.798793506832,3,"5",5,5,2
"64",220.798793506832,4,"5",5,5,2
"65",220.798793506832,5,"5",5,5,2
"66",222.069323232847,1,"10",5,5,2
"67",222.069323232847,2,"10",5,5,2
"68",222.069323232847,3,"10",5,5,2
"69",222.069323232847,4,"10",5,5,2
"70",222.069323232847,5,"10",5,5,2
"71",79,1,"0.05",5,5,3
"72",79,2,"0.05",5,5,3
"73",79,3,"0.05",5,5,3
"74",79,4,"0.05",5,5,3
"75",79,5,"0.05",5,5,3
"76",79,1,"0.1",5,5,3
"77",79,2,"0.1",5,5,3
"78",79,3,"0.1",5,5,3
"79",79,4,"0.1",5,5,3
"80",79,5,"0.1",5,5,3
"81",79.000167731314,1,"0.5",5,5,3
"82",79.000167731314,2,"0.5",5,5,3
"83",79.000167731314,3,"0.5",5,5,3
"84",79.000167731314,4,"0.5",5,5,3
"85",79.000167731314,5,"0.5",5,5,3
"86",79.0690094921299,1,"1",5,5,3
"87",79.0690094921299,2,"1",5,5,3
"88",79.0690094921299,3,"1",5,5,3
"89",79.0690094921299,4,"1",5,5,3
"90",79.0690094921299,5,"1",5,5,3
"91",81.2200431230077,1,"2",5,5,3
"92",81.2200431230077,2,"2",5,5,3
